NAME_EN,NAME_ES,NAME_EU,ARTICULO_EN,ARTICULO_ES,ARTICULO_EU,,,,,,,,,,,,,,,,,,,,
Cake,Pastel,Pastela,before,de,before,,,,,,,,,,,,,,,,,,,,
Pie,Tarta,Tarta,before,de,before,,,,,,,,,,,,,,,,,,,,
Scrambled,Revuelto,Nahasia,after,de,before,,,,,,,,,,,,,,,,,,,,
Mashed,Pure,Purea,after,de,before,,,,,,,,,,,,,,,,,,,,
Soup,Sopa,Zopa,before,de,before,,,,,,,,,,,,,,,,,,,,
Sofrito,Sofrito,Sofrito,before,de,before,,,,,,,,,,,,,,,,,,,,
Pudding,Pudding,Pudding-a,before,de,before,,,,,,,,,,,,,,,,,,,,
Balls,Albondigas,Albondigak,before,de,before,,,,,,,,,,,,,,,,,,,,
Pasta,Pasta,Pasta,with,con,rekin,,,,,,,,,,,,,,,,,,,,
Burger,Hamburguesa,Hanburgesa,before,de,before,,,,,,,,,,,,,,,,,,,,
Omelette,Tortilla,Tortila,before,de,before,,,,,,,,,,,,,,,,,,,,
Salad,Ensalada,Entsalada,before,de,before,,,,,,,,,,,,,,,,,,,,
Cream,Crema,Krema,before,de,before,,,,,,,,,,,,,,,,,,,,
Noodles,Tallarines,Tagriatelleak,with,con,rekin,,,,,,,,,,,,,,,,,,,,
Paella,Paella,Paella,before,de,before,,,,,,,,,,,,,,,,,,,,
Croquettes,Croquetas,Kroketak,before,de,before,,,,,,,,,,,,,,,,,,,,
Baked,Horno,Labean,after,al,before,,,,,,,,,,,,,,,,,,,,
Grilled,Plancha,Plantxan,after,a la,before,,,,,,,,,,,,,,,,,,,,
Sauce,Salsa,Salsarekin,with,con,before,,,,,,,,,,,,,,,,,,,,
Stew,Estofado,Erregosia,before,de,before,,,,,,,,,,,,,,,,,,,,
Simple,Sencillo,Sinplea,after,-,before,,,,,,,,,,,,,,,,,,,,
Stuffed,Relleno,Betelana,after,-,before,,,,,,,,,,,,,,,,,,,,
Homemade,Casero,Etxeko,after,-,after,,,,,,,,,,,,,,,,,,,,
Wine,Vino,Sagardoarekin,with,al,before,,,,,,,,,,,,,,,,,,,,
Roasted,Asado,Errea,after,-,before,,,,,,,,,,,,,,,,,,,,
Spannish,Española,Gaztelaniara,after,a la,before,,,,,,,,,,,,,,,,,,,,
Gratinned,Gratinado,Gratinatua,after,-,before,,,,,,,,,,,,,,,,,,,,
Sauce,Salsa,Saltsa,before,de,before,,,,,,,,,,,,,,,,,,,,
Smoothie,Batido,Irabiatua,before,de,before,,,,,,,,,,,,,,,,,,,,
